# Converted from gridded data
   l    m 	C	Standard_Deviation
  39  -18   0.00237122   0.00000000
  39  -17   0.00782837   0.00000000
  39  -16  -0.00312257   0.00000000
  39  -15  -0.00443181   0.00000000
  39  -14  -0.00176336   0.00000000
  39  -13  -0.00247300   0.00000000
  39  -12   0.00061944   0.00000000
  39  -11   0.00747974   0.00000000
  39  -10  -0.00631389   0.00000000
  39   -9   0.00441878   0.00000000
  39   -8   0.00841590   0.00000000
  39   -7  -0.00398549   0.00000000
  39   -6   0.00486972   0.00000000
  39   -5   0.00086960   0.00000000
  39   -4   0.00296071   0.00000000
  39   -3  -0.00026691   0.00000000
  39   -2  -0.00625061   0.00000000
  39   -1  -0.00291318   0.00000000
  39    0  -0.00051980   0.00000000
  39    1  -0.00281662   0.00000000
  39    2   0.00114814   0.00000000
  39    3  -0.00440141   0.00000000
  39    4   0.00335180   0.00000000
  39    5   0.00564473   0.00000000
  39    6  -0.00665505   0.00000000
  39    7  -0.00201208   0.00000000
  39    8  -0.00481578   0.00000000
  39    9   0.00587720   0.00000000
  39   10   0.00662696   0.00000000
  39   11   0.00999845   0.00000000
  39   12  -0.00132490   0.00000000
  39   13  -0.01147944   0.00000000
  39   14   0.00135141   0.00000000
  39   15   0.00201901   0.00000000
  39   16  -0.00066935   0.00000000
  39   17  -0.00023199   0.00000000
  39   18  -0.00215273   0.00000000
  39   19   0.00509975   0.00000000
  39   20   0.00362828   0.00000000
  39   21  -0.00100873   0.00000000
  39   22  -0.00330308   0.00000000
  39   23  -0.00463911   0.00000000
  39   24  -0.00397064   0.00000000
  39   25  -0.00074859   0.00000000
  39   26   0.00290362   0.00000000
  39   27   0.00243715   0.00000000
  39   28   0.00331243   0.00000000
  39   29  -0.00049070   0.00000000
  39   30   0.00373838   0.00000000
  39   31   0.00181132   0.00000000
  39   32  -0.00170992   0.00000000
  39   33  -0.00161305   0.00000000
  39   34   0.00035443   0.00000000
  39   35  -0.00318654   0.00000000
  39   36   0.00340214   0.00000000
  39   37   0.00129035   0.00000000
  39   38  -0.00594481   0.00000000
  39   39  -0.00034435   0.00000000
  40  -40  -0.00144241   0.00000000
  40  -39  -0.00434541   0.00000000
  40  -38   0.01145915   0.00000000
  40  -37  -0.00188293   0.00000000
  40  -36  -0.00285493   0.00000000
  40  -35  -0.00135589   0.00000000
  40  -34   0.00707471   0.00000000
  40  -33   0.00690629   0.00000000
  40  -32   0.00040060   0.00000000
  40  -31  -0.00213374   0.00000000
  40  -30  -0.00191544   0.00000000
  40  -29   0.00183466   0.00000000
  40  -28   0.00388218   0.00000000
  40  -27   0.00240820   0.00000000
  40  -26   0.00687292   0.00000000
  40  -25  -0.00740434   0.00000000
  40  -24   0.00701382   0.00000000
  40  -23   0.00051979   0.00000000
  40  -22  -0.00655451   0.00000000
  40  -21  -0.00204430   0.00000000
  40  -20   0.00103081   0.00000000
  40  -19   0.00555731   0.00000000
  40  -18  -0.00225951   0.00000000
  40  -17   0.00405544   0.00000000
  40  -16  -0.00329040   0.00000000
  40  -15   0.00377424   0.00000000
  40  -14  -0.00386585   0.00000000
  40  -13   0.00345788   0.00000000
  40  -12   0.00095378   0.00000000
  40  -11   0.00302722   0.00000000
  40  -10   0.00348387   0.00000000
  40   -9   0.00781559   0.00000000
  40   -8  -0.00169873   0.00000000
  40   -7  -0.00897694   0.00000000
  40   -6  -0.00044851   0.00000000
  40   -5  -0.00721226   0.00000000
  40   -4  -0.00344431   0.00000000
  40   -3   0.00183536   0.00000000
  40   -2   0.00061650   0.00000000
  40   -1  -0.00124349   0.00000000
  40    0   0.00344849   0.00000000
  40    1  -0.00280498   0.00000000
  40    2   0.00146032   0.00000000
  40    3  -0.00313149   0.00000000
  40    4   0.00379342   0.00000000
  40    5   0.00256232   0.00000000
  40    6  -0.00027238   0.00000000
  40    7  -0.00361225   0.00000000
  40    8   0.00091931   0.00000000
  40    9  -0.00310714   0.00000000
  40   10  -0.00041836   0.00000000
  40   11   0.00077177   0.00000000
  40   12   0.00494323   0.00000000
  40   13  -0.00073180   0.00000000
  40   14  -0.00302380   0.00000000
  40   15   0.00139599   0.00000000
  40   16  -0.00997158   0.00000000
  40   17   0.00159397   0.00000000
  40   18  -0.00463686   0.00000000
  40   19   0.00753153   0.00000000
  40   20   0.00300922   0.00000000
  40   21  -0.00095126   0.00000000
  40   22   0.00277403   0.00000000
  40   23   0.00013815   0.00000000
  40   24  -0.00440359   0.00000000
  40   25   0.00796063   0.00000000
  40   26   0.00832687   0.00000000
  40   27  -0.00135473   0.00000000
  40   28   0.00120319   0.00000000
  40   29   0.00965989   0.00000000
  40   30   0.00732799   0.00000000
  40   31   0.00818149   0.00000000
  40   32  -0.00177711   0.00000000
  40   33   0.00451125   0.00000000
  40   34   0.00079294   0.00000000
  40   35   0.00455929   0.00000000
  40   36  -0.00288435   0.00000000
  40   37  -0.00134582   0.00000000
  40   38  -0.00222759   0.00000000
  40   39  -0.00030044   0.00000000
  40   40   0.00727765   0.00000000
