# Converted from gridded data
   l    m 	C	Standard_Deviation
  19    6  -0.00138497   0.00000000
  19    7   0.00331323   0.00000000
  19    8   0.01407571   0.00000000
  19    9   0.00447591   0.00000000
  19   10  -0.01417339   0.00000000
  19   11   0.00781186   0.00000000
  19   12   0.00742638   0.00000000
  19   13  -0.01194614   0.00000000
  19   14  -0.01056776   0.00000000
  19   15  -0.00893589   0.00000000
  19   16   0.00052206   0.00000000
  19   17   0.00569740   0.00000000
  19   18   0.00093357   0.00000000
  19   19   0.00474768   0.00000000
  20  -20  -0.00104375   0.00000000
  20  -19  -0.00920657   0.00000000
  20  -18  -0.00210609   0.00000000
  20  -17  -0.00538306   0.00000000
  20  -16   0.00144690   0.00000000
  20  -15   0.00735453   0.00000000
  20  -14  -0.02118313   0.00000000
  20  -13   0.01362998   0.00000000
  20  -12   0.00439635   0.00000000
  20  -11   0.00449457   0.00000000
  20  -10   0.01370313   0.00000000
  20   -9   0.00777097   0.00000000
  20   -8   0.00421514   0.00000000
  20   -7  -0.00291592   0.00000000
  20   -6  -0.00078183   0.00000000
  20   -5  -0.01253143   0.00000000
  20   -4  -0.01373930   0.00000000
  20   -3  -0.00243086   0.00000000
  20   -2   0.01643032   0.00000000
  20   -1  -0.00257807   0.00000000
  20    0   0.00094944   0.00000000
  20    1   0.01281780   0.00000000
  20    2   0.00887058   0.00000000
  20    3   0.00047485   0.00000000
  20    4   0.00942474   0.00000000
  20    5  -0.00959186   0.00000000
  20    6   0.00928648   0.00000000
  20    7  -0.00487848   0.00000000
  20    8  -0.01102200   0.00000000
  20    9   0.00672588   0.00000000
  20   10   0.00023958   0.00000000
  20   11  -0.01460446   0.00000000
  20   12  -0.00176167   0.00000000
  20   13   0.00343343   0.00000000
  20   14  -0.01018396   0.00000000
  20   15  -0.00641742   0.00000000
  20   16   0.00057708   0.00000000
  20   17   0.00825177   0.00000000
  20   18   0.00952838   0.00000000
  20   19  -0.00371753   0.00000000
  20   20   0.00233911   0.00000000
  21  -21  -0.00170454   0.00000000
  21  -20   0.00978058   0.00000000
  21  -19  -0.00084413   0.00000000
  21  -18  -0.02411756   0.00000000
  21  -17  -0.01332522   0.00000000
  21  -16  -0.00022765   0.00000000
  21  -15  -0.00051254   0.00000000
  21  -14   0.00353075   0.00000000
  21  -13   0.01301140   0.00000000
  21  -12  -0.00356904   0.00000000
  21  -11   0.00681869   0.00000000
  21  -10   0.00594250   0.00000000
  21   -9   0.00065256   0.00000000
  21   -8   0.00047673   0.00000000
  21   -7  -0.01067783   0.00000000
  21   -6  -0.00358066   0.00000000
  21   -5   0.00247457   0.00000000
  21   -4   0.01010101   0.00000000
  21   -3  -0.00047104   0.00000000
  21   -2   0.00193144   0.00000000
